n,M(n),M_total,omega,f
36,-2.1185073575654408243620526677467209957214819280159e-31,1.673755746732246400703713046848738280743837619125e-27,133239916646520.32025024059154955844552954404242116,21205791351445.819595818857040676066301541213971697
37,-5.9602288669775834004422801383766915048556710146459e-31,1.6731597238455486423636688188349006115933520520235e-27,133263646290359.93498196749586822431123161158515784,21209568041560.704423177130208981657370812811907972
38,-7.2430948687498369894491230961727030974372493626973e-31,1.6724354143586736586647239065252833412836083270872e-27,133292500521103.21875351997887976903400070722232917,21214160335012.612168693897574902519890112176306297
39,-5.8396487747535522434360015097701792893184447424081e-31,1.671851449481198303440380306374306323354676482613e-27,133315777512273.7198507308520209433553354286362637,21217864983217.703821021234089683574379889249325998
40,-2.5601661698192006194725703127927290077606604620344e-31,1.6715954328642163833784330493430270504539004165668e-27,133325986246673.56710608329781655791461493924620019,21219489753760.151785231008362799267765949971731384
41,1.2363176063790826718832728588317905080608415288335e-31,1.6717190646248542916456213766289102295047065007197e-27,133321056102747.44558855230260033236786777476457596,21218705096984.155061665809458707514564168849898729
42,4.1708068713729496768874730473945771682077538549433e-31,1.6721361453119915866133101239336496872215272761052e-27,133304427939513.17669312417505638931809940174931495,21216058642610.882249323639910503543585474254935977
43,5.3187384161070722427195482351037254910316623016602e-31,1.6726680191536022938375820787571600597706304423353e-27,133283232228663.74415956708026691329468227304635744,21212685240456.848545897646126882494791827871294659
44,4.4755668599372711903078492399747113517611809132332e-31,1.6731155758395960209566128636811575309058065604266e-27,133265404472975.88195114173783266944312658767776352,21209847865014.890622728914907042077440621613124494
45,2.1463857548920474614598302924238009382971628442404e-31,1.6733302144150852257027588467103999109996362767111e-27,133256857201896.89396319471753756502546195738613636,21208487524572.723286663810934387745940251138216221
46,-7.0630748555073021693564290501378606823954076178443e-32,1.6732595836665301526810652824198985323928123226349e-27,133259669656205.93013526106333547014475024315059958,21208935140578.226494447031915084224185814961981693
47,-3.0425476512893658096926890621521009765963806825113e-31,1.6729553289014012161000960135136833222951526845666e-27,133271786849510.16938819298746181312093855455201708,21210863651788.996187953044418550269968480873978749
