n,M(n),M_total,omega,f
499,1.8237736545982297847608349735278750089725112962906e-33,1.6725712812793663092138631646585414791007751534225e-27,133287086578631.75393293630524715456764407613657912,21213298679306.663389986149091082767809449021047637
500,1.9134283910211900260347996737083194701264287431232e-33,1.6725731947077573304038891994582151874202452798513e-27,133287010338210.89721563631926510486417524358816873,21213286545266.820636994028919163856306251135941437
501,3.9294360113737007443192794311595692256955704872572e-33,1.6725771241437687041046335187376463469894709754218e-27,133286853770517.1500682075581325493063946735047394,21213261626744.43228044780439067550980844003235807
502,1.8952994904146170710377855047315422340602458622297e-33,1.6725790194432591187217045565231510785317050356676e-27,133286778252836.17417993355992614771147019022396335,21213249607732.214131042532071054950190249002420722
503,3.8680596369826125570775535534529469475829573303664e-34,1.6725794062492228169829602642785064238263997939634e-27,133286762840675.92084468919865767371424354726435651,21213247154810.726088300514458212638294346011828542
504,-1.8109035727120483252804938052952085576964390567745e-33,1.6725775953456501049346349837847011286178420975243e-27,133286834995597.2716649028483623139490435619204163,21213258638623.127478275346035800153877063028340599
505,-1.850919633300690722535300477964323116203448609152e-33,1.6725757444260168042439124484842231642947258940757e-27,133286908745067.90815610588679488491437767756269143,21213270376215.929686438852536755652694146476231661
506,-3.4440128979315287199242008636911188860184472275113e-33,1.6725723004131188727151925242833594731758398756285e-27,133287045971302.1420114603392546148870909622982303,21213292216449.429890787331882409736414119352633144
507,-2.4044699475957015387447398822151449976923969336134e-33,1.6725698959431712770136537795434772580308421832315e-27,133287141777337.52439369557705307992202528416800414,21213307464453.5390339429755163895283692000489404
508,-4.2031859768919523128562075690597365389142036006413e-34,1.6725694756245735878184224939227203520571882918112e-27,133287158524941.08246617430086997394359464257524087,21213310129917.430244592168967402876616317334509533
509,1.6150000210216776665110921119403572457730332234884e-33,1.6725710906245946094960890050148322924144340648444e-27,133287094175265.00929810971139233387915809584995407,21213299888348.396837629930446085754695013842093904
510,2.0882822260398973264170077399190709969084112959076e-33,1.6725731789068206493934154220225722114854309732557e-27,133287010967797.58207379345748951348396921239379699,21213286645468.653637009071138971488721007312176456
511,2.7954664123050487935767628818800656238268728705853e-33,1.6725759743732329544422089987854540915510548001286e-27,133286899582866.8667085372455099873498564850229224,21213268918006.344338346886858629511301789743242104
512,2.8480825915368274368091378389978210284308954848187e-33,1.672578822455824491269645807923293089372083231024e-27,133286786101739.73322582049981347140659081136379839,21213250856924.013404765430349374946849914853253409
513,4.8527575446066615626260770612635524737010782793559e-34,1.6725793077315789519358020705309992157273306011319e-27,133286766766079.51139576874346597035882402892198726,21213247779558.111155179198982716411530344258280851
514,-1.2875471999501644220282079252925351646927232277412e-33,1.6725780201843790017713800423230739231921659084086e-27,133286818068012.28889774579640170308398571462773726,21213255944514.302862746377411258722757997520959364
515,-2.4624667524655484153940576307219468162151462314442e-33,1.6725755577176265362229646482654432012453496932624e-27,133286916184427.93176412185585734011315706457233121,21213271560226.850883893775711050141493046050135979
516,-2.218730431731640779835520868224885749417400135458e-33,1.6725733389871948045821848127445749763596002758623e-27,133287004589412.07307151207609590500751525853942771,21213285630317.070933581113000163253376848333750524
517,-3.0684707387363267668390768289325158376060054306958e-33,1.6725702705164560682554179736677460438437626698569e-27,133287126852462.26166792850781856931558314008503146,21213305089085.865941187069404202301338799820684351
518,-6.411816984770832502210113882014725165911202832359e-34,1.6725696293347575911721677526563578423712460787366e-27,133287152400354.76524146229963355521684040869848499,21213309155159.243465292296152328568315928908962564
519,9.2380362147988027431318932368948641543213510470803e-34,1.6725705531383790710524420658456815318576615108717e-27,133287115591392.99819494281754210666586531546151999,21213303296831.028159252308744929635725510979941159
520,2.7732189712339318301002225180121105592963170032254e-33,1.6725733263573503049842721660681995439682208071887e-27,133287005092646.8526999171705166568717707308670114,21213285710409.373647202416028140147237699426576239
521,1.911498610388962328446651984347886798852448131425e-33,1.6725752378559606939466006127201838918550196596368e-27,133286928929257.59398329056927050521050717639794195,21213273588629.490490285226928565714580739810776393
522,2.9883720692464347331236101002126545393351032337819e-33,1.67257822622802994038133373633028410450955899474e-27,133286809858260.7114062018316262696310768194651677,21213254637891.757748481736922722022194587674575224
523,9.0432794986517147214385093874284059740458743629086e-34,1.6725791305559798055528058801812228473501563993275e-27,133286773825584.71006115172778427845460605417028705,21213248903113.259305707504518602477315871018372284
524,-6.1469434726636948392340682241135387322858822506605e-34,1.6725785158616325391833219567744004359962831707393e-27,133286798317893.48102192457041853229354934815086634,21213252801185.267937098299786622150631160116286639
525,-2.8633115063894522842162882634255371911166304939081e-33,1.6725756525501261497310377404861370104590920541088e-27,133286912405845.00565254268951206928233159744623084,21213270958846.700310598035125786168779338442661956
526,-1.9589695370375610041736382878792973819366428715696e-33,1.6725736935805891121700335668478491311617101174659e-27,133286990460679.19247415564920262161788963914948301,21213283381659.393361518392875916690535693789331638
527,-2.6456562883994104731364937319893718737707480297006e-33,1.6725710479243007127595604303541171417898363467179e-27,133287095876657.02629613273419905006331557478050628,21213300159133.346479955306430108086021703595421521
528,-1.2323139500697074407967758024008289623473324605535e-33,1.6725698156103506430521196335783147409608739993854e-27,133287144978200.00101856678071398284942429573807497,21213307973886.624346157516356845320765392528448264
529,4.082294329758560644138339486541726221085437235159e-34,1.6725702238397836189081840474122633951334961079291e-27,133287128712294.34217659723281664842291738027648795,21213305385087.334875025544849240028966231378587743
530,2.6747143205290068001646454597381141377186023292229e-33,1.6725728985541041479149842120577231332476338265315e-27,133287022138424.00607894766528376612912370942138964,21213288423329.066450371686769394895957618245245428
531,2.3052237791317207429177085563859929204284975180222e-33,1.672575203777883279635727129766279519240554255029e-27,133286930287092.58070654965639147147670142097835526,21213273804735.640530409985737206855515230534812549
532,2.1813131311533211045522237925612272114401897100723e-33,1.6725773850910144329568316819900720804677656952187e-27,133286843373139.11246795035736135158314898173251769,21213259971950.322401256466935302593815696817421088
533,1.5375722326063656462940682159309509872657438846564e-33,1.6725789226632470393224779760582880114187529609626e-27,133286782109005.72407291011793527767576477087981338,21213250221460.659396958867830494673806747556006763
534,-2.9635841088192572288260300588838226754406023067989e-34,1.6725786263048361573967550934552821230364854169023e-27,133286793917316.72554482541706883099418991240093573,21213252100811.724847623167708589052978455109937842
535,-2.2607173337835290825855482780484234302670891603471e-33,1.6725763655875023738676725079070040746130551498132e-27,133286883995016.54028391847738412300897820519019093,21213266437122.912711254553358932639490523586642366
536,-2.7808139187940617206132138695031513831212402579054e-33,1.6725735847735835798059518946931345714616720285729e-27,133286994796081.29514141601780605928252827985430172,21213284071660.068292009596724888371192261190198654
537,-1.7847902455092122798633514498705873534708055762909e-33,1.6725717999833380705936720313416847008743185577673e-27,133287065910895.23172598350805142979133063553600148,21213295389934.233359851755158676726978063826504244
538,-1.7250425750212384260464067768808806294007673056619e-33,1.672570074940763049355245984934907819993689157e-27,133287134645176.55005398372840201278309786981205218,21213306329334.865040669346113227315919878741332509
539,2.2991247950556376169624360486929461579253683532347e-34,1.6725703048532425549190076811785126892883049495369e-27,133287125484313.00469414209752939498465508014797599,21213304871338.148806305205428899209233596047156758
540,1.7533440008119591878531025637707320323105505711705e-33,1.6725720581972433668781955342810764600203372600874e-27,133287055622377.32483527294067866966492322076227382,21213293752465.751388714599961072405554625216572469
541,3.1734123319230572250080695534762115378270580813636e-33,1.6725752316095752899354205423506299362318750871455e-27,133286929178143.7160833616426446561875055242274902,21213273628240.947089484552665978964021327119510864
542,1.6186658445256012393929947187167099544982103496061e-33,1.6725768502754198155366599353453486529418295853559e-27,133286864682735.94300948238852408735189198986615497,21213263363477.993277327212329837353248758846009947
543,1.7372210110183407365869022717350786827075512093193e-33,1.6725785874964308338773965222476203880205122929071e-27,133286795463626.09817445675036524827490464419212962,21213252346914.505050956521670766319460256762037353
544,-1.5109649545260739730464910730869536686180911450687e-34,1.672578436399935381269999217598513079325145431098e-27,133286801484021.55214781463029296645390796651989131,21213253305090.200918791680273606267452254241964565
545,-1.3033827705579059206091163541559702824632272406027e-33,1.6725771330171648233640786084821589233548629678707e-27,133286853416958.8509568379941723527885243087912082,21213261570473.881305710472175940834756722538654425
546,-3.3118047201866253995829382126267788692517645564314e-33,1.6725738212124446367386790255439462965759937161062e-27,133286985375203.73585586671145802955841565455187779,21213282572280.836468204169601290456067799830534801
547,-1.7534091477424467085934839321178710135411363142243e-33,1.6725720678032968942919704320600141787049801749699e-27,133287055239624.73159727504334997101772894483793558,21213293691548.784193645681105586714262505738638914
548,-1.58550730530834858201897662743678255101463822164e-33,1.6725704822959915859433884130833867419224291603316e-27,133287118414107.34400601312792693051538091584031222,21213303746079.96923148977535117196557437496344743
549,2.5824821743184106786010066072892580530475908407854e-35,1.6725705081208133291274951990934528148150096908075e-27,133287117385117.51359788834574663917685062871348114,21213303582311.15133074564293825889501068921054039
550,1.0197666369630601798393405323885258669784430946761e-33,1.6725715278874502921876750384339852033408766692506e-27,133287076752542.49425807728613769848022529292145182,21213297115435.986450549991558837723603425561524754
551,3.1295752102553539281732389139086196655246219124011e-33,1.6725746574626605475416032116728991119605421938725e-27,133286952054931.98211310656638663256661715360888558,21213277269194.881694787581329136146939130790478883
552,2.1389378394273247031228754218054488081310783716964e-33,1.6725767964004999748663063345483209174093503249509e-27,133286866829369.54100792246823087689937391763388655,21213263705125.341405919472565320600404244702548835
553,1.3522051555043695042690884826355000768851320613624e-33,1.672578148605655479235810603636803552909427210083e-27,133286812951102.30871438624851304670934752467581855,21213255130132.786160312498290431657625433757272933
554,1.401296485429552279640981229099533012236833418581e-34,1.6725782887353040221910385677349264628627284337663e-27,133286807367676.17815847916269847940415203922960355,21213254241502.918093885728726123575943317711822236
555,-9.3268736704483717450074356809370489052322019202617e-34,1.6725773560479369773538640669913583691578379105461e-27,133286844530353.18244709241924109183172218888162424,21213260156126.661853927408499884937874387833485206
556,-2.6845393387382617799411948491069747140238712157872e-33,1.6725746715085982390920841257965092621831238866749e-27,133286951495273.79181475824946015345683370401277025,21213277180122.514266940824641283864941365299182225
557,-2.6245601277418961093902520629450136642607453152941e-33,1.6725720469484704971959747355444463171694596259296e-27,133287056070583.97021696737765493248558626017801606,21213293823800.054527847491492642432553487738526997
558,-1.1603698502634324744563891915922952841393564471999e-33,1.6725708865786202337635002791552547248741754865731e-27,133287102305471.74417291010194459444350816194563406,21213301182310.98705197297651256843959032589637817
559,-3.0806701005777476672494980922932887514260457424321e-34,1.6725705785116101759887335542054454955453003439686e-27,133287114580396.85743823887150867814524089938834113,21213303135925.994910993285530221263354291100408342
560,9.9269019891627928954759220472046283030668328404099e-34,1.6725715712018090922680231017976502160081306506519e-27,133287075026683.82170441203092272160852405724264548,21213296840757.047635617371220058541533502184152513
561,2.1287884562513520305545284323877671099733012344999e-33,1.6725736999902653436200536563260826037752406239531e-27,133286990205286.42396990803818703496550395097749534,21213283341012.371824143264872202188640790489791657
562,3.0190558758710267640530895274592355364031749151528e-33,1.672576719046141214646817709415610063010777027128e-27,133286869911536.08025493729399820026179332025344493,21213264195667.381559522109100196764613611128805886
563,1.123237248686855641306166537280016501377386023915e-33,1.672577842283389901502459015582147343027278404514e-27,133286825156428.6060234181662818204952379447669432,21213257072670.7984265450848081018399722562646012
564,4.3138870803004668068840096279170812077301007921456e-34,1.6725782736720979315491397039831101347353991775241e-27,133286807967865.32195702328888795800352886802846345,21213254337025.987119516405507000922234472941858842
565,-1.1019362563861990225779532053141555615849233785691e-33,1.6725771717358415453501171260299048205798375926007e-27,133286851874222.67536607866192879471948846448494409,21213261324939.793073754920467282839842091437147615
566,-1.644074990895567295491063030830852492139303226987e-33,1.6725755276608506497828216349668739897273454532975e-27,133286917382034.52234803016032764966633410334995713,21213271750831.859654754498386985265277755659088436
567,-3.1663735213096755067827328482759825604278063477229e-33,1.6725723612873293401073148522340257137447850254912e-27,133287043545773.6714180643353899935254940924634705,21213291830414.584185723461488740910692757117211319
568,-1.2946685808567636095930492523921946005170707401617e-33,1.6725710666187484833437052591847733215501845084204e-27,133287095131777.26930057032740902372745204100734407,21213300040582.051145021744947946879864716272078674
569,-4.8486320706985473540446818994655593442998040536759e-34,1.67257058175554141348896985471658337499425007844e-27,133287114451142.45123570784172420648009584245053526,21213303115354.517247452735971553092099593754301954
570,1.1608978969516968373548333938019420883728416942404e-33,1.6725717426534383651858072095499771769363384512817e-27,133287068195202.04510596948145360994228418229359161,21213295753492.954247772201711002937668980850452464
571,1.3701230880487933263693645526448527801528091346861e-33,1.6725731127765264139791335789145298217891186040908e-27,133287013602752.40067126972261545370897512017939153,21213287064834.737840605803849796681831295280895587
572,3.0063757193033222160823439028550345545922132072807e-33,1.672576119152245717301349661258432676823673196304e-27,133286893814176.90023834209730364927469450543086695,21213267999890.821009995365431603820901991743429627
573,1.6424637925260955795063873366830747351142212826043e-33,1.6725777616160382433969291676457693598984083105253e-27,133286828370597.57125537410308097508683936660919897,21213257584221.677175773149985799165066852525627039
574,4.824863173442081725936392812939105319254721429102e-34,1.6725782441023555876051017612850506538089402359975e-27,133286809146063.28248120356287453155546249539619807,21213254524542.016477729464319642022421817750579101
575,-1.1091315148428293098187558899266182228619188196245e-33,1.6725771349708407447757919425291607271907173740786e-27,133286853339115.11185716845777838395660241349400394,21213261558084.66543924221925025278225825619837874
576,-1.3544954577834004238453226080620469435710390531721e-33,1.6725757804753829613753680972065526651437738030396e-27,133286907308687.96672596274261933979707484518590875,21213270147608.961849784464934243389224320638360812
577,-2.5965865658628878092956078723524608487818423689592e-33,1.6725731838888170984875588015986803126829250211972e-27,133287010769290.44880070559602695040989535667712184,21213286613875.262137595489449256398832041144486679
578,-2.0571635011932712640827706283788223893691491727743e-33,1.6725711267253159052162947188280519338605356520481e-27,133287092736832.82898100240930335557940130380423488,21213299659414.805037709787666222502554223187845118
579,-4.7423068838833941433884289309736659053158020120138e-34,1.6725706524946275168768803799851588364939451204679e-27,133287111632544.39941012229930910886486653991404574,21213302666760.704710224608656820326294852586130116
580,9.4367462232501339077764646155067465615691838624015e-34,1.6725715961692498418902711576316203871686012773862e-27,133287074031857.30173355297289652466004680833248924,21213296682425.489463347019094353231738753960403766
581,1.5421545260681533598688865977464593920352150010971e-33,1.6725731383237759100436310265182181336279933126012e-27,133287012584824.83562917168816909318993744758519718,21213286902826.534154659103199128271837926017257212
582,2.0870707147565803329474361207869604094059880654185e-33,1.6725752253944906666239639739543389205884027185893e-27,133286929425782.66549400866033705426603081536474124,21213273667653.909990272826765477599380397179380547
583,2.3939620998082157900355452901766663169752139642932e-33,1.6725776193565904748397540094996290972547196938033e-27,133286834038887.63331355082379142474131753202727169,21213258486358.059430998147142660833370896744716598
584,5.2262765365090955340572407324376279288771678804907e-34,1.6725781419842441257493074152237023410175125815201e-27,133286813214930.58481035493541345309724345020985394,21213255172122.360428399245201015495408819807297111
585,-7.1008661624991625554260010666478332801264218851508e-34,1.6725774318976278758330518726235956762341845688779e-27,133286841508141.51072562660571394093065707605881074,21213259675126.735229435648734038995776307523827792
586,-1.8057788798865327177331789260080312361994187196689e-33,1.6725756261187479893003341394446696682029483694591e-27,133286913458998.21340675725071297570232702949772652,21213271126461.239157767079266136988151376755083907
587,-1.6595849081782456983832142720610241618302877197985e-33,1.6725739665338398110546357562303976071787865391714e-27,133286979584891.4741590968261728981682830727377682,21213281650724.017973550985729309411022121617362712
588,-2.5310429468299083368107400181308536188185470082419e-33,1.6725714354908929811462989454903794763251677206244e-27,133287080434079.37650559623463711026652659714630876,21213297701370.779435367649638346781694124639195425
589,-6.7032844930338921414924744437174507011216975554106e-34,1.6725707651624436777570847962429351045800976084547e-27,133287107143296.96195757696781748258025556922806184,21213301952274.784277027790604051775731253388725716
590,4.7364466111041033367709681259871028212579444464236e-34,1.6725712388071047881674184733397477032903797342491e-27,133287088270937.53776474119442836873901896705056979,21213298948645.494109822386044687959721028479787064
591,2.0015787893494894447773936788110448725199398668871e-33,1.672573240385894137656863250733426514335252254189e-27,133287008518170.3191953026860726386294598737943271,21213286255598.366017227536657262139537752561860733
592,1.4561596580677240394013558950757256674611617274301e-33,1.6725746965455522053809026520893215900609197153507e-27,133286950497680.29471272713424018289708197028879702,21213277021350.578006822207937176897161080046957459
593,2.4202296557056853566279805234911299164157623496545e-33,1.6725771167752079110662592800698450811908361311131e-27,133286854064115.65562852537824002417271446499252493,21213261673472.085724765703361472818692508454206264
594,9.1467514036528666004435162259406762690536971570221e-34,1.6725780314503482763529193244214676752584630364828e-27,133286817619122.85852316971290639865245218715140284,21213255873071.331116927407266025665949294262823997
595,-2.8616192726583199940920096287895476000270389105734e-34,1.6725777452884210105209199152205047963037030337789e-27,133286829021167.12374357689234097489549081475666614,21213257687763.037279352880549831291512468622438103
596,-2.0263729170625118412579085579465582115173365441313e-33,1.6725757189155039480090786573119468497454915164423e-27,133286909761529.32980950784226247546596319363769718,21213270537990.789404793070154244875070271017446908
597,-1.5257248580267974545452929964470040243067675737084e-33,1.6725741931906459212116241120189504027414672096748e-27,133286970553781.75261295420469694640327556629348314,21213280213378.264184211924711320607700793359441102
598,-2.1085974220801304065719714626077304916317999864416e-33,1.6725720845932238410812175400474877950109755778748e-27,133287054570631.16574256331044629478509812586439303,21213293585075.151291194900612429312357710374867528
599,-1.2025263310430812212657665532638072368384190184747e-33,1.6725708820668927979999962742809345312037387394558e-27,133287102485241.4275827840742893068079213400435502,21213301210922.22078471950963629101401676792334798
600,1.6418083485005840567351396518718583923681630015699e-34,1.6725710462477276480584019477948997183895779762721e-27,133287095943460.03453436874638794112688770512626649,21213300169765.375454479174243002555005717590084781
601,1.8531859726565417959440756951843680686262007806933e-33,1.6725728994337003046001978918705949027576466024728e-27,133287022103376.57930786844006352291284570954438353,21213288417751.095237103203580019233319331799442127
602,1.8092086215622695148190104798884079600706760134691e-33,1.6725747086423218668697127108810747911656066731488e-27,133286950015686.41616222298088716928915992880499094,21213276944638.869695474807481069596660330366249161
603,1.7215259373779881785408471148617825369794440348515e-33,1.6725764301682592448578912517281896529481436525929e-27,133286881421810.38443790115424185460918196650940084,21213266027584.433413866905823183928064083503018697
604,1.4493641560054122703301686110085732593101540728726e-33,1.672577879532415250270161581896800661521402962747e-27,133286823672251.27194955879339137926962907156526402,21213256836456.639283739064070423845516074407859233
605,-8.7409862453806418090487759070612322806757164473789e-35,1.6725777921225527964637434914090415909090801559898e-27,133286827155073.66345541904366160037707409314522052,21213257390765.038803033069458964390169735929274736
606,-1.5332301228426928469046398529938024939017977537953e-33,1.672576258892429953770896586769188597106586254192e-27,133286888246258.72971961321828101707806483338760269,21213267113729.121440757080444815306726826831353587
607,-2.1674283295949912790668964406675937119013488147644e-33,1.6725740914641003587796175198727479295128743528432e-27,133286974607061.94688103044284986983945539961212573,21213280858477.842838454069531834837952076123892849
608,-1.413635998680040116023624464767757056318270839198e-33,1.6725726778281016787395014962482831617558180345724e-27,133287030933231.84821598545710839571371564507065801,21213289823066.208069846754392084839077273850272063
609,-1.5752862914600056473875815256648172951697479148441e-33,1.6725711025418102187338541086667574969385228648245e-27,133287093700423.89802012214210658288330694374922061,21213299812775.08679448947834394293778937473955191
610,1.589456043467858758728694311403713691319543235511e-35,1.6725711184363706534124416959537006109756597780199e-27,133287093067105.60510419417982508542314437876148354,21213299711979.349926398662538839580162976270665283
611,1.1668074444659527138642497345105891457109474552959e-33,1.6725722852438151193651555602034351215648054889673e-27,133287046575721.96290020752008929264314783088897341,21213292312645.83208794946117550357355770747069641
612,2.4388778272683658132335684892370071870953232225806e-33,1.6725747241216423877309687937719243585719925842906e-27,133286949398915.33994082635564299048059820336131488,21213276846476.704158731387068038914032774430553403
613,1.3074148443971659461447115999396681318021068895631e-33,1.6725760315364867848969149384835242982401243863975e-27,133286897305208.6931576047027289158561733662749444,21213268555505.787344057947790257542508451255168907
614,1.5421397598935500551949964899740586809231759735969e-33,1.6725775736762466784469701334800142722988053095734e-27,133286835859009.00068152896717263859666759167420132,21213258776039.37207479143277214393828525820338939
615,8.4447331634384299752397390306116864150257938089055e-35,1.6725776581235783128312698858774045784156694598314e-27,133286832494227.18690781091245473681959010754778999,21213258240517.713986990966309675861139311477209752
616,-8.5805523666599310772036544217588616713751398222562e-34,1.6725768000683416468381621655119624025295023223174e-27,133286866683225.24296093100653154802584462093658026,21213263681865.753967045555817341126406630585898618
617,-2.5032090395880444526629162758457795411411801280758e-33,1.6725742968593020587937095025956865567499611811373e-27,133286966423118.81045950249428131352528052388399938,21213279555962.838693978362469591316173270312697928
618,-1.4444889763042564044557164437310101753010003389106e-33,1.6725728523703257545373050468792428257397858801369e-27,133287023978612.38470086578901180957943511268841964,21213288716204.143128310213233457568985198727356011
619,-1.3747069288758525571368766008625621547833874619554e-33,1.6725714776633968786847479100026419631776310967495e-27,133287078753717.72093589248596334241229494977214529,21213297433932.91576936841843955159786222021270028
620,-2.2162722086565604596174428551391559714915827640881e-34,1.6725712560361760130287019482583564492620339475912e-27,133287087584445.78597820493116476312997608838387695,21213298839386.938421180668864542854999249598490014
621,6.7360590002378825151984460838802379209256566776156e-34,1.6725719296420760368169534681029648372858260401569e-27,133287060744650.12684425833755304497332568150114501,21213294567700.787693617935328882761009247785176284
622,2.3251303970114697318581862463096121126532837211274e-33,1.6725742547724730482866853262892111468979386934406e-27,133286968100062.51382096280484583905451224464881041,21213279822856.718370783791280167481533121744025545
623,1.7693140276094862837517736091620018030459050267855e-33,1.6725760240865006577729690780628203088997417393456e-27,133286897602051.86215131072665626355968209349612083,21213268602749.845012469100072547323269189223648211
624,1.1552926434555072143632576343602007937623150546321e-33,1.6725771793791441132801834413204546691005355016607e-27,133286851569677.16591951756807411650132421386126716,21213261276469.869848895216181326384007604950908866
625,3.7297533901587447111625749267618137512452927884341e-34,1.6725775523544831291546545575779473452819106261899e-27,133286836708569.12581937864201006443628901757033978,21213258911251.065444249377868860585332973801280666
626,-6.2159654758609250030796758438106689372316564890482e-34,1.6725769307579355430621542496103629642150169030243e-27,133286861475929.09458377351334024184145375779943093,21213262853098.83180943328448332184879035217343685
627,-1.9625620822877869000074142404796467837901399242362e-33,1.6725749681958532552752542421961224845682331128844e-27,133286939673818.16973854700925974715319703479902561,21213275298679.417472035249383576776417123542825458
628,-2.1517337004036990205004545145161051202380252118727e-33,1.6725728164621528515762337417416079684631128748591e-27,133287025409370.26559862742581314205864071530823474,21213288943916.332240874231235236752340776519025567
629,-9.9255722672098196672141027877039917400856042216449e-34,1.6725718239049261305942670203313291980639388662987e-27,133287064957740.85883840489190215330034726000324669,21213295238235.003385137993961335871993720191014759
630,-4.9809595954818103533671854657995294456019754091605e-34,1.6725713258089665824132316836127826181109943061012e-27,133287084804351.44826073481042313288478700315764908,21213298396921.182311656259059986126586235829373467
631,6.5730027456196758277574396758701038832027238533061e-34,1.6725719831092411443808144593567502051213826263736e-27,133287058614254.1222306362179459979204782745854278,21213294228637.732816135713694626757169210847602422
632,1.5380094108694957241438132808053504150424352553205e-33,1.6725735211186520138765386031700310104717976688088e-27,133286997332404.61501965831707530420073711401670547,21213284475328.461929878299903935042422797874673799
633,2.4390002761263681188211363490171172989908262386614e-33,1.6725759601189281402446574243063800275890966596351e-27,133286900150826.74884462132189637781091919639008186,21213269008399.967058194930351264224517064247059421
634,9.7695232956522305506289459006274676366853277241507e-34,1.6725769370712577054677124872009700903358603281678e-27,133286861224376.27251120669028910676936482148435414,21213262813062.956727868238848958557270435166691471
635,5.6238925752779799829836367388622827689945214755329e-34,1.67257749946051523326571078556464397656413722762e-27,133286838816115.5947702579145722954338900802159877,21213259246677.503773651528706150333535072634845691
636,-7.0980844382693008556679655835676018782329783362624e-34,1.6725767896520714063356252187680856198039494043222e-27,133286867098259.10846421831184388249178912379346308,21213263747920.445212430589632831646489097142438487
637,-1.1868065532445294146266854726308224324338741039728e-33,1.672575602845518161806210592082612988981516970448e-27,133286914386315.62550470741173011276645200513189575,21213271274048.389108339992508733744130081046825607
638,-2.5160232768618905549517057672071603893734378324087e-33,1.6725730868222412999156556403768457818211275970102e-27,133287014636898.28251137710830559062035928307327778,21213287229424.166813586012978894499774216439500037
639,-1.1415204611010991195565787952342184864381965220081e-33,1.6725719453017801988165360837980505476026411588137e-27,133287060120690.13796838200912032925983172875756333,21213294468394.47117245819151802697923226298145646
640,-5.5878117788905021828014064478483735952891671107423e-34,1.672571386520602309766317803657405762765281629897e-27,133287082385298.64177077548838228141276400314383296,21213298011916.970558457083193200355198789579593792
641,7.1585921990612746939431046969107207135918806310007e-34,1.672572102379822215893787197967875453837352989085e-27,133287053861925.3015412269495997121284891400229928,21213293472281.109805338708225905273581347459527907
642,1.0042152669444915460671043185682803752042957554909e-33,1.6725731065950891603853332650721940221177281933808e-27,133287013849051.14459294131830004986500253816069605,21213287104034.400413064748897833959207696667447191
643,2.3496256397254057930014462024756470343296013152372e-33,1.6725754562207288857911262665183964977647625229821e-27,133286920228552.88725258536005989796559467772546957,21213272203869.328031173942555922954630596694267252
644,1.4451751637391876549068965074331358323545824465092e-33,1.6725769013958926249787811734149039309005948775646e-27,133286862645852.73953875698750655961009572798872794,21213263039297.962944106443057298687047906762837169
645,5.1606878747062202830876882769532320641107622535786e-34,1.6725774174646800956008094821837316262238012886408e-27,133286842083218.63392542373153064762120066017311721,21213259766653.102045750243234409869081752805084106
646,-6.4536198905335151830346705220585633872915734916601e-34,1.6725767721026910422492911787166794203674625594834e-27,133286867797510.09685635199689514060801503234177161,21213263859209.696476932192290563551904782952533921
647,-1.0123270725847440326942096884492739641230240337998e-33,1.6725757597756184575052584845069909710934984364594e-27,133286908133466.02777259025506759132910749519350741,21213270278876.467219104243874865397655904822620874
648,-1.9995043874535600205250424066727860823301272776545e-33,1.6725737602712310039452379594645842983074161063321e-27,133286987803398.7635345046544125716701480799408419,21213282958740.077914421011110720294647169979620819
649,-1.7864439253116138947209335789704121277882383053794e-33,1.6725719738273056923313432385310053278952883180938e-27,133287058984092.27936048064742667824840737264293705,21213294287499.30366734754909708420079974884145259
650,-4.8876239823786306602950676503406426643875792278862e-34,1.6725714850649074544682772090242402938310218793359e-27,133287078458804.84788040985248672809078114829570173,21213297386996.07424115572657909138379679170149162
651,5.0850006962980302191759926249177944646486103311457e-34,1.6725719935649770842712991266235027856104683441969e-27,133287058197645.95928904534149695872847124184253343,21213294162332.484351547758406484550962097362503178
652,1.1583058229407583810498719650160736818932961119026e-33,1.672573151870800025029680176495467801684150237493e-27,133287012045045.04323634393485798048971151429306041,21213286816917.912014223523248882792611637554036374
653,1.5923753619216445410183820720347298410442342580422e-33,1.6725747442461619466742211948775398364139912817273e-27,133286948597057.05605055982638265460148136177111156,21213276718856.994618411163111645364076438613944536
654,2.0428627762641309219656769838526148298576287149588e-33,1.672576787108938210805143160554523689028821139356e-27,133286867199589.65984144374343427008534584537660055,21213263764047.703350343279738206441383575592000744
655,5.3238711637389939601064331332026445632942779643404e-34,1.6725773194960545847045391711978370092932774687838e-27,133286845986753.72738919609673865723559562361122074,21213260387920.007703193274683540247387872464117929
656,-3.4358541217256304176456858293760060805477114819836e-34,1.6725769759106424121414974066292540716926694140127e-27,133286859676830.24501882872476742302588148292436754,21213262566763.356790230128997684719113560074256763
657,-1.3420892001294052786739383234891478064519776954326e-33,1.672575633821442282736218732690930582544862962035e-27,133286913152085.8298613153160984050353028539365336,21213271077614.616220394313715208443881170099751538
658,-1.2706358955427051292555052925352336567051653191752e-33,1.6725743631855467400310894771856380473112062568697e-27,133286963780359.17297332740958035196574086236697121,21213279135354.578984308219332744014082944060409695
659,-2.1202196637546282772868886096970852227346063545674e-33,1.6725722429658829854028121902970283502259835222633e-27,133287048260283.18216997907730141821405126813801374,21213292580752.077075643773854656540230699744935638
660,-6.7558159465717147514815628690214535677987463460209e-34,1.6725715673842883282313370421407414480806267423887e-27,133287075178792.76165174351104885269707069991722297,21213296864965.937316703438051547570653215725474126
