n,M_total,omega,phase,Δω²
140,1.67254788178e-27,3.48835367341e+15,4.89711209621e+17,3.2370021629715406e+26
141,1.67250339111e-27,3.48840007038e+15,4.93199609692e+17,4.6338646934899296e+25
142,1.67249702233e-27,3.48840671219e+15,4.96688016404e+17,1.6172191702834015e+26
143,1.67251924958e-27,3.48838353221e+15,5.00176399936e+17,2.934480171613581e+26
144,1.67255958293e-27,3.48834147121e+15,5.03664741407e+17,2.4180830577504304e+26
145,1.67259282006e-27,3.48830681154e+15,5.07153048219e+17,3.2630973956960174e+26
146,1.6726376742e-27,3.48826003929e+15,5.10641308258e+17,6.103142594698096e+25
147,1.67264606377e-27,3.48825129116e+15,5.14129559549e+17,1.106455746625062e+26
148,1.67263085415e-27,3.48826715087e+15,5.176178267e+17,3.103111032084796e+26
149,1.67258819945e-27,3.48831162985e+15,5.2110613833e+17,2.0090844454453507e+26
150,1.67256058416e-27,3.48834042711e+15,5.24594478757e+17,2.981090649162536e+26
151,1.67251961013e-27,3.4883831562e+15,5.28082861913e+17,8.384828615648206e+25
152,1.67250808585e-27,3.4883951744e+15,5.31571257088e+17,7.136550165834996e+25
153,1.67251789446e-27,3.48838494539e+15,5.35059642033e+17,3.010080710279098e+26
154,1.67255926688e-27,3.4883418008e+15,5.38547983834e+17,1.996795721468087e+26
155,1.6725867132e-27,3.48831317969e+15,5.42036297014e+17,2.4846705326408028e+26
156,1.67262086672e-27,3.4882775653e+15,5.45524574579e+17,1.0969914198284944e+26
157,1.67263594606e-27,3.48826184129e+15,5.4901283642e+17,4.71524884529503e+25
158,1.67262946441e-27,3.48826860002e+15,5.5250110502e+17,2.6470404305122075e+26
159,1.67259307868e-27,3.48830654185e+15,5.55989411562e+17,2.2557973173578188e+26
160,1.67256207216e-27,3.48833887541e+15,5.59477750438e+17,1.9425783222367987e+26
161,1.67253537184e-27,3.48836671918e+15,5.62966117157e+17,1.3064041811678884e+26
162,1.67251741607e-27,3.48838544429e+15,5.66454502601e+17,3.5152983259377052e+25
163,1.67252224761e-27,3.48838040571e+15,5.69942883007e+17,2.113793356146563e+26
164,1.67255130083e-27,3.48835010795e+15,5.73431233115e+17,2.5858163455242356e+26
165,1.67258684318e-27,3.48831304415e+15,5.76919546159e+17,1.5270622749945068e+26
166,1.67260783355e-27,3.48829115582e+15,5.80407837315e+17,1.3957542000236637e+26
167,1.67262701947e-27,3.48827114948e+15,5.83896108464e+17,2.9053179292687314e+25
168,1.67262302581e-27,3.48827531389e+15,5.87384383778e+17,1.557596108594484e+26
169,1.67260161535e-27,3.48829763998e+15,5.90872681418e+17,2.7930145661765425e+26
170,1.67256322442e-27,3.48833767382e+15,5.94361019092e+17,1.351472197821311e+26
171,1.67254464861e-27,3.48835704506e+15,5.97849376137e+17,1.338937848789441e+26
172,1.67252624549e-27,3.48837623653e+15,6.01337752373e+17,2.2794312766966787e+25
173,1.67252937844e-27,3.48837296935e+15,6.04826125343e+17,1.112486140282639e+26
174,1.67254466911e-27,3.48835702368e+15,6.08314482366e+17,2.7587638622411062e+26
175,1.6725825884e-27,3.488317481e+15,6.11802799847e+17,1.4310506803924964e+26
176,1.67260225891e-27,3.48829696889e+15,6.15291096816e+17,1.1665242704738146e+26
